molecule,metal,length,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
T|Ni+2,Ni+2,1,0.023249089033135238,0.00587726492029211,-0.003044914532573746,-0.01384741582637046,-0.007780060690827122,-0.03952758460358745,0.018299073818592394,0.003810543975587127,-0.021342718673545858,-0.0157144647559768
W|Ni+2,Ni+2,1,0.03184363759906333,-0.018730726209912237,0.00024521861227016703,-0.003238389900177798,0.009992269065597201,0.013304694649786583,0.008457077916707929,-0.008042941623356847,-0.01798214131378361,-0.004623157994844531
I|Co+2,Co+2,1,0.05762732282314917,0.01488829583617247,-0.008169677790515919,0.01707145542662344,-0.005581900365933173,0.01691205414072359,0.006917222463802755,-0.011702524474546535,-0.007844527106350951,-0.010493805651944237
A|Co+2,Co+2,1,0.028037663110397598,-0.03339461990252745,-0.011478464503134438,-0.01893632026289641,0.0097226829792429,0.030515978032615694,0.026596702218515407,0.002629600088639766,0.0006702275619467534,-0.009337134684085058
L|Ni+2,Ni+2,1,0.008508049861163495,-0.012410555289550877,0.013799797927658673,-0.001725431346948521,-0.00224634512575958,0.011823681822361326,-0.0007366402957548739,-0.002627651146087498,-0.002635527079361295,-0.00013964105467779075
I|Ni+2,Ni+2,1,0.013345483112762888,-0.012935395517699892,-0.013960405851941303,0.005758290134384344,0.015430652252157574,0.005837018474468922,0.005615633902618368,-0.008686533837652352,-0.0035967527170087093,-0.0009716690934401307
Q|Co+2,Co+2,1,0.009363032728768622,-0.008074271873380244,0.0028919460294571306,-0.009634130354278653,-0.008123592912599365,0.01583495349616634,0.004219893237316073,-0.021358399359642483,0.016149743502591234,0.010066045250668308
R|Co+2,Co+2,1,0.027239877637137137,-0.03233252641835849,0.00025459052650894784,-0.007473938252552679,0.004327814747171014,0.014347575947196843,0.004714139120854436,-0.005183329293996883,-0.022109990613331857,-0.008815170645035867
A|Ni+2,Ni+2,1,0.03409145479261981,-0.00502206643794659,0.005559723157020979,-0.0037585212001017953,-0.0036537608501810235,0.0012200500476800362,0.007724305502362745,-0.021500131186953285,-0.006343189326440367,0.012214006359596106
Y|Co+2,Co+2,1,0.0639174375296846,0.033808751286457384,-0.00032044806736064016,-0.0003029227211026463,0.005679929674348943,0.013065513756916093,-0.018284538976234454,0.01788413215311322,0.008232158557781633,0.0018021030567516622
G|Ni+2,Ni+2,1,0.03611731897863443,0.0007300950476494235,0.02166895217853655,0.005874138804303247,-0.00990852012971194,0.00010441360549614018,0.011579728236997707,-0.02545169305288903,0.006815574558104689,0.007483491795984253
R|Ni+2,Ni+2,1,0.03993578382966983,0.0010455086509941394,0.00508498347670811,0.008442602141042605,-0.006471563407675345,-0.0007738633550861218,-0.0027021320669473677,-0.0027709003830152547,-0.01459250050567304,-0.0045430759204404085
L|Co+2,Co+2,1,-0.006676277006068668,0.0008621891988470996,0.0024097260361640596,-0.0008019992279566152,0.023643195427469704,0.005399712247745628,0.015290134471692134,-0.0035169618900997655,0.0024694705022694154,-0.016532932837160896
I|Zn+2,Zn+2,1,0.0018920536014362666,-0.023484073764497657,-0.004234393921248955,-0.009060167649796617,-0.01163967444126644,-0.0003246224235501157,0.005227781972166514,0.00024960195010414847,0.01514023845050621,-0.01349457754368685
G|Co+2,Co+2,1,0.01797009301735083,0.005106318769289634,-0.014773677720217433,0.0018782594541546216,-0.012488872385958536,0.014699676763004186,0.028024307104430102,-0.006197355682213197,-0.00940048652479541,-0.014305649943066729
P|Cu+2,Cu+2,1,-0.025839570359984555,-0.005502195665577124,-0.011711017768621199,-0.009367002996459779,-0.01315853964026259,0.00789915885009396,0.011166362726559246,-0.0016219766748869439,0.00423315240173816,-0.015483167922284154
D|Co+2,Co+2,1,-0.011372978411594523,-0.004081644953970098,-0.006533925332943377,0.012827491483412435,-0.002425049919040837,0.0036282469767818537,-0.015081741836377071,-0.00722496780210396,0.00025168601811761525,0.0038803756295614157
A|Zn+2,Zn+2,1,0.006744631857533365,-0.019872426606827982,-0.012978760211835754,-0.001927924619548346,-0.014967396293694495,0.0002949117587938564,0.004308146742016786,-0.0053192155631270575,0.028717110972159645,-0.0347132234939258
P|Co+2,Co+2,1,0.0072194381938752855,-0.031059652338247878,-0.0015944280245809418,0.003270535547786908,0.028278188874209784,0.009769563874462378,0.015142147148685621,-0.0009755967953500849,-0.001230342968554348,-0.01651128067797441
G|Zn+2,Zn+2,1,0.010424252477823873,-0.019910456824749442,-0.014065836940779454,0.003439320034784395,-0.014934779870423253,-0.005745257206464,0.004316739145871271,-0.013515641359841896,0.029043679237362778,-0.0324095261495207
Y|Ni+2,Ni+2,1,0.07755572583261648,0.03874322608646691,0.0007619948402283593,0.02493713174397803,-0.014481955292936347,-0.005083928740086627,0.003281660763810329,0.007780463167917625,-0.012636853320333994,-0.0030707258766548293
