wavenumber,PC1_loading,PC2_loading
1430,0.004588537838298428,-0.011065276564657058
1435,0.002769246380248864,-0.010841254263511147
1440,0.0005318420839318605,-0.010858655442035646
1445,-0.003395655207587427,-0.011426847903464642
1450,-0.010631857923973967,-0.012764448376602913
1455,-0.021922167997391225,-0.015373125847965761
1460,-0.035198664318403856,-0.020823279331983482
1465,-0.04583392816147575,-0.030728579868602255
1470,-0.04733081668058529,-0.04431039487366594
1475,-0.029708217947316175,-0.06065944933562915
1480,0.017350904648588093,-0.08067967159044279
1485,0.0915367988805836,-0.10059009624291156
1490,0.16861677911725076,-0.10893861915631364
1495,0.214510233690484,-0.09609854905278839
1500,0.20942254348784237,-0.06365187267701648
1505,0.16326060572800072,-0.024376572780353784
1510,0.10617046505422238,0.00652596296267991
1515,0.05974414142187245,0.022846638757830454
1520,0.02773588399643284,0.02804498710685107
1525,0.0078510650325987,0.026971935057174344
1530,-0.002548908584901265,0.021802854626703536
1535,-0.006373628694839483,0.014409561657309103
1540,-0.006036015683588589,0.00715791033622762
1545,-0.0032209693489064794,0.000851597385835003
1550,0.000548392294587515,-0.004912782119486886
1555,0.003493920441727783,-0.010174343673833105
1560,0.005150682425289135,-0.015385481893212443
1565,0.006499452889237427,-0.020856452084259434
1570,0.007634683897509035,-0.023708410198278466
1575,0.00813829831723428,-0.02048215277424745
1580,0.007717049902986751,-0.013526730936036692
1585,0.005303965584629884,-0.008270988587300836
1590,0.0006508144659125699,-0.005860092605536385
1595,-0.004338207194014642,-0.004795780504865991
1600,-0.007732297777855958,-0.004703442642319045
1605,-0.00965681000936731,-0.005499161386152772
1610,-0.011548419954305366,-0.00650098368339077
1615,-0.013589485139449175,-0.007751952468541559
1620,-0.014500472937070658,-0.010180842823902863
1625,-0.01438141878587188,-0.013645372913710123
1630,-0.014431484607615818,-0.016879157314750155
1635,-0.01483531911438378,-0.018913830749615987
1640,-0.015891901310450936,-0.019094088713564012
1645,-0.01838234085097815,-0.0165123932462836
1650,-0.02207669895855718,-0.01038975253441641
1655,-0.026158924216779036,-0.0023654866072966184
1660,-0.03048097487305312,0.004386166322035867
1665,-0.034986002112426126,0.009286926931153799
1670,-0.03878149372416318,0.01306097173068859
1675,-0.040074033127463764,0.015349036732157446
1680,-0.03865507749804334,0.016681890668776695
1685,-0.037792886316441246,0.01959529754920735
1690,-0.03987701853270142,0.025675184228491736
1695,-0.043794838392405194,0.033087874011085774
1700,-0.049125349978599006,0.03935422624826739
1705,-0.05782294966071781,0.04345319227838196
1710,-0.06941843369590661,0.04563666296054798
1715,-0.07902996285794787,0.04512604598776095
1720,-0.08327903730957799,0.03933692367959988
1725,-0.08292328005160926,0.028680755856345132
1730,-0.07964621911958966,0.015379836260243218
1735,-0.07624993997115821,-0.0011984711741295226
1740,-0.07429698082242751,-0.021138139342355308
1745,-0.07092943066495956,-0.038970711745466874
1750,-0.06370937760714418,-0.04670956154881329
1755,-0.05274251153753324,-0.04132760588414578
1760,-0.040502321163521565,-0.026227902634946867
1765,-0.030366562706782597,-0.006581428400887424
1770,-0.023029626383357486,0.01331346912868012
1775,-0.01780846052238076,0.03171746383629701
1780,-0.01280313386131918,0.049336152308770385
1785,-0.0051530821313099774,0.06540356154856397
1790,0.004802936742584338,0.07487169829329518
1795,0.013526375550879901,0.07159247420304962
1800,0.01909076078384922,0.05528955397781667
1805,0.02386351478189095,0.030130572981259183
1810,0.02909855832066374,-0.0004511741942086295
1815,0.031002552200609407,-0.02971466608958736
1820,0.026627116664132287,-0.047417937340157486
1825,0.01680803681409295,-0.04792460402542113
1830,0.005195516381022545,-0.03620250464332746
1835,-0.003120015693565249,-0.023159554550158695
